original_team_name,orginal_team_code,final_team_name,final_team_code,year,coach_name,game,draw,rank,win,lost,wa,df,streak,ba,slg,obp,ops,r,hr,rall,ra,era,normal_r,normal_rall,power,rbi,playoff,champion,season_rank
OB,OB,두산,DS,1982,김영덕,80,0,1,56,24,0.7,0,,0.283,0.412,0.351,0.763,399,57,318,3.98,3.2,0.39,-0.582,0.486,,1,1,1
삼성,SS,삼성,SS,1982,서영무,80,0,2,54,26,0.675,2,,0.266,0.392,0.349,0.741,434,57,257,3.21,2.7,1.115,-1.152,1.134,,1,2,2
MBC,MB,LG,LG,1982,백인천,80,0,3,46,34,0.575,10,,0.282,0.41,0.357,0.767,419,65,359,4.49,3.51,0.805,-0.198,0.501,,0,0,3
해태,HT,KIA,KA,1982,"김동엽, 조창수",80,0,4,38,42,0.475,18,,0.261,0.408,0.33,0.738,374,84,388,4.85,3.79,-0.128,0.073,-0.101,,0,0,4
롯데,LT,롯데,LT,1982,박영길,80,0,5,31,49,0.388,25,,0.256,0.373,0.347,0.72,353,59,385,4.81,3.95,-0.563,0.045,-0.304,,0,0,5
삼미,SM,현대,HD,1982,박현식,80,0,6,15,65,0.188,41,,0.24,0.345,0.306,0.651,302,40,574,7.18,6.23,-1.62,1.813,-1.716,,0,0,6
해태,HT,KIA,KA,1983,김응용,100,1,1,55,44,0.556,0,,0.268,0.388,0.336,0.724,422,78,390,3.9,3.17,0.525,-0.258,0.391,,1,1,2
MBC,MB,LG,LG,1983,"백인천, 유백만, 김동엽",100,2,2,55,43,0.561,-0.5,,0.255,0.353,0.324,0.677,412,46,335,3.35,2.71,0.265,-1.456,0.86,,1,2,1
삼미,SM,현대,HD,1983,김진영,100,1,3,52,47,0.525,3,,0.245,0.343,0.313,0.656,346,62,372,3.72,3.04,-1.454,-0.65,-0.402,,0,0,3
삼성,SS,삼성,SS,1983,"서영무, 이충남, 김영덕",100,4,4,46,50,0.479,7.5,,0.263,0.393,0.335,0.728,448,90,418,4.18,3.42,1.202,0.352,0.425,,0,0,4
OB,OB,두산,DS,1983,김영덕,100,1,5,44,55,0.444,11,,0.259,0.362,0.326,0.688,418,50,432,4.32,3.52,0.421,0.657,-0.118,,0,0,5
롯데,LT,롯데,LT,1983,"박영길, 강병철",100,1,6,43,56,0.434,12,,0.244,0.365,0.316,0.681,365,77,464,4.64,3.79,-0.959,1.354,-1.157,,0,0,6
롯데,LT,롯데,LT,1984,강병철,100,2,1,50,48,0.51,0,,0.257,0.377,0.334,0.711,405,71,390,3.9,3.31,0.633,0.127,0.253,,1,1,4
삼성,SS,삼성,SS,1984,김영덕,100,0,2,55,45,0.55,-4,,0.27,0.396,0.344,0.74,435,78,379,3.79,3.35,1.511,-0.083,0.797,,1,2,2
OB,OB,두산,DS,1984,김성근,100,1,3,58,41,0.586,-7.5,,0.256,0.359,0.336,0.695,382,53,298,2.98,2.53,-0.039,-1.631,0.796,,1,0,1
MBC,MB,LG,LG,1984,어우홍,100,1,4,51,48,0.515,-0.5,,0.253,0.355,0.325,0.68,375,47,374,3.74,3.18,-0.244,-0.178,-0.033,,0,0,3
해태,HT,KIA,KA,1984,김응용,100,3,5,43,54,0.443,6.5,,0.248,0.365,0.319,0.684,369,76,398,3.98,3.16,-0.419,0.28,-0.35,,0,0,5
삼미,SM,현대,HD,1984,김진영,100,3,6,38,59,0.392,11.5,,0.237,0.339,0.313,0.652,334,58,461,4.61,4.05,-1.442,1.485,-1.464,,0,0,6
삼성,SS,삼성,SS,1985,김영덕,110,1,1,77,32,0.706,0,,0.276,0.417,0.357,0.774,552,97,379,3.45,2.98,1.461,-0.854,1.158,,1,1,1
롯데,LT,롯데,LT,1985,강병철,110,0,2,59,51,0.536,18.5,,0.256,0.377,0.33,0.707,426,77,420,3.82,3.05,-0.329,-0.355,0.013,,0,0,2
해태,HT,KIA,KA,1985,김응용,110,1,3,57,52,0.523,20,,0.272,0.402,0.34,0.742,483,99,465,4.23,3.64,0.481,0.193,0.144,,0,0,3
OB,OB,두산,DS,1985,김성근,110,2,4,51,57,0.472,25.5,,0.26,0.37,0.334,0.704,473,67,416,3.78,3.14,0.339,-0.404,0.371,,0,0,4
